"ProvincialSeedlotsID","ExperimentalClimate","HtFinalS01_mm","HeightFinalS02_mm","FinalStemDiamS02_mm","MaxGthRate_mm_Day","FinalShootWeightS02_g","FinalRootWeightS02_g","TotalWeight","RootShoot_Ratio","BudSet","BudBreakS02_day","LinearGthS02_Days","Gth5pctS02_Day","Gth95pctS02_Day","Gth5.95pctS02_Days","ColdInjuryFallS02_Mean","ColdInjuryMidWinterS02_Mean","ColdInjurySpringS02_Mean","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","log(MAP)","log(MSP)","AHM","SHM","DD0","DD5","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"AB_GSIMS_2432","MAT06",33.002538479493,102.99991033139,2.76460741718708,1.92832044510731,2.41891194270611,1.08378772099703,3.50259056412072,0.449229687196933,155.498679963547,48.0120524415823,5.6997668894939,131.698224075853,181.088105771665,49.3999369965994,69.0471812445061,52.0726811180261,61.5774917760113,56.17,-118.5,609,1,15.8,-17,32.8,6.06378520868761,5.59471137960184,25.6,58.7,1821,1268,156,142,253,111,132,-45.7,33.8,520,211
"AB_GSIMS_2433","MAT06",34.6412138305989,108.494305413931,2.83040509209797,1.97352522341519,3.03030961993582,1.31848615013971,4.34281008420336,0.37066071955177,161.402380722503,44.186945975083,5.61152835936565,129.592049248214,180.303642621069,50.5956563219212,43.1028813753772,43.608399038557,65.9140831285347,56.25,-118.92,609,1,15.6,-16.4,32,5.99645208861902,5.52146091786225,27.4,62.4,1790,1241,155,143,253,111,126,-46.2,33.4,509,223
"AB_GSIMS_2437","MAT06",42.5880971638399,107.498508342872,2.91776528260515,2.48980887137015,2.37404183893311,1.2572191795606,3.62966084764701,0.53998158388258,155.474250509737,46.012112929661,4.39960619250742,134.847602945216,173.874966329817,39.098827924791,65.943012146687,32.114720558344,68.2010145390995,55.08,-119.42,701,1.5,15.2,-14.5,29.7,6.16751649088834,5.69035945432406,24.2,51.2,1593,1204,151,148,251,103,147,-46.3,33.5,534,194
"AB_GSIMS_2507","MAT06",32.9275438723195,92.4962786186129,2.76373214973642,1.96703941629581,2.21454652297191,0.669931842390849,2.88042232374068,0.427385333381913,151.434032214784,47.837557417777,5.08694671006416,130.300306748708,174.106591423024,44.3469108452457,66.8934258809447,40.6962818631192,55.1429327450108,52.63,-116.08,1520,1.1,12.7,-11.3,24.1,6.361302477573,5.99146454710798,19.2,31.9,1342,843,131,162,245,83,156,-45.1,30.5,493,35
"AB_GSIMS_2508","MAT06",40.047834253559,106.999168102175,2.6609851106437,1.6123143178347,1.97103953482628,0.775016140236567,2.74515718481111,0.395539230617598,151.485746723295,46.0120844646828,6.39968181461871,122.847895241987,179.954679008334,57.1493498409362,38.5214446633078,44.8890549393709,46.172297944705,53.2,-117.53,1360,1.5,13.5,-11.2,24.7,6.55250788703459,6.08449941307517,16.3,30.7,1335,944,141,155,252,97,220,-44.6,30.7,490,29
"AB_GSIMS_2509","MAT06",37.3493077310624,119.999088668875,2.88374884537749,2.36356471028313,2.76604291516136,1.11501411504045,3.88015852864309,0.386202534594598,157.985728270796,46.1867396039907,5.21207661967247,129.944168399799,180.369059540317,50.0994402139735,37.0465171208775,32.8473233010017,59.5808878191746,53.73,-116.58,1000,2.2,14.4,-11.8,26.2,6.3750248198281,6.06145691892802,20.8,33.6,1286,1108,148,153,251,98,124,-44.7,31.8,525,69
"AB_GSIMS_2658","MAT06",44.8112896556588,125.003044188077,3.09490160037021,3.23884631581389,2.8771509981987,1.06082328420785,3.9411981656502,0.368459582532478,150.053286977946,48.0119172329356,3.7001260945225,133.499612485513,168.879240994621,35.2524160982888,32.0447356984547,24.6257694279037,59.5660879526374,53.5,-116.17,1090,1.8,14,-11.9,26,6.361302477573,6.05208916892442,20.4,33,1340,1048,145,154,250,96,126,-45.4,31.5,511,63
"AB_GSIMS_2717","MAT06",36.0126872653304,89.9989339313196,2.75181705267361,1.37260387666909,1.99174816881049,0.887092617515767,2.87767916773591,0.439058682786325,144.981438718627,44.6496526158317,6.63092098881801,124.348406771063,178.966139998559,54.7324723935422,57.00868705998,49.334801486214,43.9691350218581,50.67,-115.08,1860,0.1,11.9,-12.3,24.2,6.69456205852109,5.99396142730657,12.4,29.7,1521,697,117,175,240,65,385,-45.6,30.2,492,48
"AB_GSIMS_2835","MAT06",34.5903419987171,103.501804102772,2.65569820955931,2.52208503043636,1.57815222607727,0.887731388052043,2.46770414749002,0.628801144504866,147.530313003329,48.8373190235842,4.41258004524617,133.25275473416,173.555435105604,40.6012818929612,42.1127982076433,30.1188323042191,62.9649312669569,58.75,-115.42,825,-3.8,14.1,-25.2,39.3,6.10702288774225,5.605802066296,13.8,51.9,3024,865,127,155,239,85,177,-47.1,32.7,386,119
"AB_GSIMS_3116","MAT06",43.879210894544,96.5028334583758,2.49164608425025,1.66246800390896,1.6086470797495,0.536927841664047,2.14844798132018,0.364730275790129,151.547566549915,49.7499487564629,5.58149607588622,131.555056600409,176.817813857388,45.7020195806603,38.2179107537896,44.551199694944,56.7175614381304,54.03,-116.07,990,2.3,14.7,-11.6,26.3,6.42648845745769,6.07993319509559,19.9,33.7,1283,1145,152,148,256,108,142,-44.3,31.5,513,58
